NLC,Estacion,Entradas_semana,Entradas_sabado,Entradas_domingo,Salidas_semana,Salidas_sabado,Salidas_domingo,Entradas_salidas_anual_millones
500,Acton Town,9531,6716,4744,9382,6617,4785,6.04
501,Barbican,20680,7416,5149,20512,7702,5351,11.83
502,Aldgate,15080,4397,3261,16023,5909,4230,8.85
503,Aldgate East,22327,16166,13323,21071,13893,11347,14.0
505,Alperton,4495,3279,2345,5081,3392,2445,3.05
506,Amersham,3848,1876,1232,4025,1797,1121,2.32
507,Angel,30413,20944,13916,30099,22368,13832,19.2
508,Archway,15336,10701,7424,13956,9023,6816,9.28
509,Arnos Grove,7443,5868,3986,6732,5100,3745,4.61
510,Arsenal,4622,3692,2626,3929,3071,2581,2.82
511,Baker Street,47116,29088,22260,44913,27901,20754,28.78
512,Balham,22562,17441,10809,22199,15581,10678,14.31
513,Bank & Monument,112547,29906,17414,111709,29100,16333,61.8
514,Barking,29410,19930,14113,28165,18712,13372,18.2
515,Barkingside,2723,1440,931,2661,1403,934,1.62
516,Barons Court,12188,7011,5009,10959,6051,4894,7.12
517,Bayswater,6946,6916,6033,6309,6409,5286,4.71
518,Becontree,6034,3935,2549,5638,3595,2423,3.64
519,Belsize Park,10868,6114,4791,9207,5596,4541,6.24
520,Bethnal Green,23869,20599,15643,22390,19079,14976,15.57
521,Blackfriars,26446,10303,8112,24991,8295,6211,14.83
522,Blackhorse Road,14573,10207,7512,13631,9194,6984,9.0
524,Bond Street,61234,46690,28468,60124,45840,27253,38.8
525,Borough,9525,5779,3955,9318,6268,4140,5.87
526,Boston Manor,3893,2378,1724,3414,2094,1744,2.29
527,Bounds Green,10509,7995,5470,9196,6878,5232,6.39
528,Bow Road,9077,6612,4787,8487,5852,4801,5.66
529,Brent Cross,4080,2728,2290,3791,2499,2144,2.52
530,Bromley-by-Bow,6307,3719,2438,5937,3317,2428,3.75
531,Buckhurst Hill,3740,2373,1303,3843,2109,1290,2.3
532,Burnt Oak,7414,4665,3321,6947,4413,3165,4.49
534,Caledonian Road,9277,6574,4874,8591,5719,4668,5.72
535,Camden Town,31046,37481,16303,31183,41851,28383,22.51
536,Cannon Street,18732,4360,3117,15365,3398,2955,9.39
537,Canons Park,4900,3505,2373,4777,3259,2271,3.07
539,Chalfont & Latimer,2838,1286,726,2964,1082,573,1.67
540,Chalk Farm,8997,8721,7683,8003,7056,5373,5.89
541,Chancery Lane,31085,8066,4071,32778,8195,4038,17.48
542,Embankment,34869,28002,17980,33686,25955,15578,22.13
543,Chesham,1985,1011,634,1821,912,564,1.13
544,Chigwell,1021,366,188,727,329,160,0.5
545,Chiswick Park,3392,2074,1385,3971,2026,1504,2.25
546,Chorleywood,1369,542,328,1221,545,320,0.75
547,Clapham Common,15071,13320,9002,16450,13870,9582,10.49
548,Clapham North,9804,9237,5746,10834,9097,5874,6.86
549,Clapham South,13665,10189,6726,13359,9193,6880,8.65
550,Cockfosters,2894,2998,1811,2760,2576,1814,1.93
551,Colindale,11783,8076,5503,10901,6829,5108,7.14
552,Colliers Wood,10755,8146,5827,9870,7264,5657,6.7
553,Covent Garden,22563,27532,17730,24691,36587,20431,17.54
554,Croxley,2006,887,489,1877,825,489,1.13
555,Dagenham East,5082,3369,2099,4593,2770,1795,3.0
556,Dagenham Heathway,9800,6422,4174,9711,6157,4109,6.08
557,Debden,4365,2100,1100,4076,1836,1035,2.47
558,Dollis Hill,7035,5118,3974,6107,4252,3576,4.26
560,Ealing Broadway,27918,18907,12639,25074,17762,12462,16.79
561,Ealing Common,5017,3634,2486,5002,3413,2470,3.19
562,Earl's Court,30323,24399,18840,30098,24212,18053,19.99
563,East Acton,6603,4380,3187,6345,3923,3119,4.08
564,Eastcote,5129,2931,1654,4848,2636,1638,3.01
565,East Finchley,12133,7616,4980,11528,6609,4958,7.31
566,East Ham,23269,17213,12184,22485,15768,11628,14.7
567,East Putney,10103,6648,4301,9678,6019,4512,6.18
568,Edgware,8705,5546,4220,8014,5309,4051,5.28
569,Edgware Road (Cir),11970,6611,4932,11396,6435,4542,7.15
570,Elephant & Castle,37290,23949,17597,32954,21378,15851,22.1
571,Elm Park,5724,3184,1801,5138,2896,1787,3.28
572,Epping,6224,4582,2658,6449,4216,2584,3.97
574,Euston,65497,52450,43900,64044,51259,39268,43.07
575,Euston Square,24492,8086,6749,24727,8805,6752,14.13
576,Fairlop,2081,1394,856,1878,1298,821,1.24
577,Farringdon,36844,7931,4687,37094,9088,4550,20.14
578,Finchley Central,12024,7238,4118,11680,6401,4266,7.2
579,Finchley Road,15534,11037,7909,14715,9443,7514,9.63
580,Finsbury Park,52158,41968,25405,45233,30510,22325,31.22
581,Fulham Broadway,15310,12139,6951,15025,10125,6572,9.63
582,Gants Hill,11215,7326,4905,10582,6971,4806,6.83
583,Gloucester Road,21724,16396,13126,20559,15425,12030,13.84
584,Golders Green,13364,9191,7249,12928,8432,7027,8.41
585,Goldhawk Road,3519,2330,1476,3313,2122,1576,2.14
586,Goodge Street,12987,6054,3560,12624,6194,3352,7.52
587,Grange Hill,1213,572,278,1085,488,281,0.67
588,Great Portland Street,14519,5020,3281,13985,4835,2775,8.08
589,Greenford,7635,4982,3143,7453,4611,3040,4.68
590,Green Park,58814,35126,25470,67897,42800,29244,39.34
591,Gunnersbury,10367,4110,2691,9408,3557,2454,5.71
592,Hainault,6373,3865,2438,6002,3553,2430,3.8
593,Hammersmith (Dis),47068,31449,22271,45894,30229,21442,29.31
594,Hampstead,7192,5531,4827,7223,5740,5349,4.83
595,Hanger Lane,6547,3994,2691,6086,3537,2478,3.89
596,Harlesden,5321,3066,2039,5172,2903,1995,3.2
597,Harrow & Wealdstone,8496,4650,3093,7332,4465,2929,4.83
598,Harrow-on-the-Hill,16908,11329,7711,18067,11531,7995,10.96
599,Wood Lane,6242,4516,2267,6631,4294,2494,4.0
601,Hendon Central,13207,7560,5685,12181,6560,5278,7.8
602,High Barnet,7311,4031,2518,6820,3525,2497,4.26
603,Highbury & Islington,31198,24555,15276,30890,23441,16720,20.09
604,Highgate,9839,6257,4118,8948,5772,4272,5.87
605,High Street Kensington,20170,14260,10213,19963,13917,9172,12.76
606,Hillingdon,3193,2169,1112,2686,1687,1007,1.81
607,Holborn,51101,28823,17598,56804,31315,18187,32.54
608,Holland Park,6091,3888,2601,5447,3879,2663,3.63
609,Holloway Road,10836,7498,5453,10473,6944,5466,6.79
610,Hornchurch,3723,2269,1042,3705,2299,1061,2.24
611,Hounslow Central,6080,4252,3022,6423,4073,2929,3.95
612,Hounslow East,5988,4804,3609,6305,4905,3678,4.04
613,Hounslow West,5414,4253,3387,5191,4160,3406,3.52
614,Hyde Park Corner,7515,7654,6368,8292,7400,6454,5.54
615,Ickenham,1912,1170,621,1958,1146,654,1.17
616,Kennington,8942,6777,4709,8177,6390,4843,5.58
617,Kensal Green,4578,3147,2139,3891,2664,2092,2.69
