NLC,Estacion,Entradas_semana,Entradas_sabado,Entradas_domingo,Salidas_semana,Salidas_sabado,Salidas_domingo,Entradas_salidas_anual_millones
688.0,Roding Valley,446.0,170.0,87.0,336.0,145.0,83.0,0.22
690.0,Royal Oak,3691.0,2157.0,1507.0,3486.0,2090.0,1610.0,2.22
691.0,Ruislip,2646.0,1573.0,892.0,2693.0,1576.0,895.0,1.62
692.0,Ruislip Gardens,1783.0,1110.0,628.0,1431.0,909.0,580.0,0.99
693.0,Ruislip Manor,2937.0,1518.0,818.0,2774.0,1379.0,809.0,1.69
694.0,Russell Square,20524.0,16715.0,12366.0,20156.0,16386.0,11755.0,13.44
695.0,St. James's Park,25210.0,6704.0,4166.0,26327.0,7194.0,4312.0,14.26
696.0,St. John's Wood,11142.0,7359.0,5254.0,11286.0,7340.0,5413.0,7.07
697.0,St. Paul's,24525.0,13120.0,9010.0,25450.0,13345.0,8423.0,15.05
698.0,Seven Sisters,21758.0,15899.0,11650.0,19300.0,13668.0,10830.0,13.25
700.0,Shepherd's Bush (Cen),33802.0,30777.0,20175.0,31416.0,28381.0,19149.0,21.9
702.0,Sloane Square,26212.0,18581.0,11357.0,26233.0,18438.0,10956.0,16.51
703.0,Snaresbrook,4869.0,2372.0,1383.0,3625.0,2078.0,1324.0,2.54
704.0,South Ealing,5412.0,3511.0,2282.0,5230.0,3233.0,2297.0,3.31
705.0,Southfields,9482.0,6368.0,3911.0,8393.0,5313.0,3658.0,5.58
706.0,Southgate,7830.0,4987.0,3272.0,7874.0,4868.0,3342.0,4.88
707.0,South Harrow,3624.0,2347.0,1571.0,3640.0,2285.0,1541.0,2.26
708.0,South Kensington,48391.0,41637.0,31172.0,48547.0,41308.0,30812.0,32.5
709.0,South Kenton,1700.0,951.0,547.0,1500.0,858.0,593.0,0.97
710.0,South Ruislip,2792.0,1933.0,1114.0,2690.0,1735.0,1053.0,1.71
711.0,South Wimbledon,6296.0,3942.0,2454.0,5597.0,3823.0,2490.0,3.7
712.0,South Woodford,6261.0,3815.0,2391.0,7799.0,4878.0,3040.0,4.33
713.0,Stamford Brook,4461.0,2675.0,1630.0,4163.0,2280.0,1570.0,2.63
714.0,Stanmore,5321.0,3702.0,2573.0,5293.0,3507.0,2582.0,3.36
715.0,Stepney Green,8055.0,4690.0,3281.0,7199.0,3881.0,3056.0,4.68
716.0,Stockwell,15556.0,11074.0,7362.0,12015.0,9324.0,6803.0,8.87
717.0,Stonebridge Park,4092.0,2407.0,1994.0,3929.0,2300.0,1534.0,2.48
718.0,Charing Cross,30548.0,28462.0,17357.0,25401.0,21206.0,12928.0,18.52
719.0,Stratford,74238.0,79991.0,52801.0,71501.0,75360.0,49109.0,50.96
720.0,Sudbury Hill,3370.0,2070.0,1289.0,3258.0,1896.0,1249.0,2.03
721.0,Sudbury Town,3416.0,2369.0,1679.0,2949.0,1862.0,1361.0,2.01
723.0,Swiss Cottage,12194.0,8475.0,5942.0,11522.0,7809.0,5573.0,7.53
724.0,Temple,13262.0,4908.0,2867.0,14109.0,5759.0,2964.0,7.82
725.0,Theydon Bois,1259.0,929.0,445.0,1129.0,818.0,427.0,0.75
726.0,Tooting Bec,11438.0,8036.0,5134.0,10251.0,6719.0,5116.0,6.86
727.0,Tooting Broadway,21045.0,15658.0,10070.0,20470.0,14131.0,9866.0,13.23
728.0,Tottenham Court Road,54489.0,46309.0,28907.0,55081.0,48343.0,28218.0,36.01
729.0,Tottenham Hale,15177.0,11628.0,8126.0,15381.0,10595.0,7349.0,9.8
730.0,Totteridge & Whetstone,3321.0,1791.0,1041.0,3089.0,1583.0,1023.0,1.92
731.0,Tower Hill,33376.0,30591.0,21013.0,33372.0,30256.0,21128.0,22.54
733.0,Tufnell Park,6050.0,5033.0,3220.0,5187.0,4052.0,2901.0,3.68
734.0,Turnham Green,9592.0,6467.0,4218.0,9660.0,6257.0,4213.0,6.03
735.0,Turnpike Lane,14670.0,12039.0,8604.0,14589.0,10835.0,8437.0,9.6
736.0,Upminster,7641.0,4619.0,2035.0,8282.0,4210.0,2091.0,4.73
737.0,Upminster Bridge,2038.0,537.0,230.0,1989.0,458.0,238.0,1.1
738.0,Upney,3712.0,2178.0,1329.0,3313.0,1774.0,1109.0,2.13
739.0,Upton Park,16400.0,12605.0,8755.0,15267.0,12238.0,8198.0,10.3
740.0,Uxbridge,11878.0,6599.0,4075.0,11903.0,6223.0,4286.0,7.18
741.0,Victoria,126275.0,96658.0,70312.0,130050.0,92731.0,69643.0,82.96
742.0,Walthamstow Central,23987.0,17380.0,11242.0,23250.0,16779.0,11839.0,15.09
743.0,Wanstead,4110.0,2894.0,1732.0,4069.0,2645.0,1711.0,2.56
745.0,Warren Street,28841.0,10628.0,6618.0,29195.0,10220.0,6037.0,16.51
746.0,Warwick Avenue,7151.0,5074.0,3235.0,6438.0,4433.0,3154.0,4.31
747.0,Waterloo,139941.0,91036.0,51622.0,146314.0,91296.0,54391.0,88.16
748.0,Watford,2740.0,1355.0,877.0,2635.0,1334.0,858.0,1.6
751.0,Wembley Central,7519.0,6689.0,4645.0,7924.0,6660.0,5086.0,5.18
752.0,Wembley Park,16104.0,12131.0,11520.0,15589.0,11481.0,11459.0,10.6
753.0,West Acton,2604.0,1728.0,1048.0,2486.0,1566.0,1001.0,1.58
754.0,Westbourne Park,5936.0,3736.0,2196.0,5012.0,3010.0,1965.0,3.37
755.0,West Brompton,6993.0,5780.0,4005.0,6868.0,5485.0,3543.0,4.54
